2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/analysis_cache/get
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_bitbucketserver_projects
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketcloud_repos
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/list_azure_projects
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_bitbucketserver_repos
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/search_azure_repos
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/project_dump/status
2022.06.04 22:14:13 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/push/sonarlint_events
2022.06.04 22:14:13 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2022.06.04 22:14:13 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2022.06.04 22:14:13 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2022.06.04 22:14:13 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2022.06.04 22:14:14 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2022.06.04 22:14:14 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.06.04 22:14:14 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.06.04 22:14:14 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@70de71f8 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@6be9eb5 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@57948174 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@d367bf2 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@ee48a1d [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@7cddf642 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@fb1478c [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@154d3030 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@7d07f12c [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@5cf74620 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@31665463 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.06.04 22:14:14 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2022.06.04 22:14:14 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.06.04 22:14:14 INFO  web[][o.s.s.p.Platform] Web Server is operational
2022.06.04 22:24:28 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2022.06.04 22:24:28 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2022.06.04 22:24:28 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2022.06.04 22:24:28 INFO  web[][o.s.s.app.WebServer] Web Server stopped
2022.06.04 22:27:47 INFO  web[][o.s.p.ProcessEntryPoint] Starting Web Server
2022.06.04 22:27:48 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2022.06.04 22:27:49 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 9.4.0.54424 / 5c36a2e19337da136080a276102eaaefce073c68
